JUDGMENT,Summarized_text,Label,Scores
" J U D G M E N T CRIMINAL APPEAL NO.   943           OF 2007 (Arising out of SLP (Crl.) No.1377 of 2007) Dr. ARIJIT PASAYAT, J. 1.      Leave granted. 2.      Challenge in this appeal is to the order passed by the Division Bench of the Gujarat High Court dismissing the appeal filed under Section 34(1) (4) of the Prevention of Terrorism Act, 2000 (in short the ’POTA’).  There seems to be some confusion about the factual position and therefore the details are not necessary to be noted. 3.      Undisputedly, the challenge before the High Court was to the order dated 7.7.2004 passed by the Designated Judge, Special Court (POTA) Ahmedabad. There were two proceedings initiated against the appellant.  The first was Pota Case No. 08 of 2003 arising out of complaints, namely, I.C.R. No. 184 of 2002 registered at Kagdapith Police Station, I.C.R. No. 116 of 2002 registered at Vejalpur Police Station and I.C.R. No. 244 of 2002 registered at Satellite Police Station for offences punishable under Sections 120(B), 307, 337, 286 of the Indian Penal Code, 1860 (in short the ’IPC’) read with Sections 3, 4 & 6 of Explosive Substances Act, 1908 (in short the ’Explosive Act’) and under Sections 3(3), 4,20, 21(2)(b) and 22(3) of the POTA.  It is to be noted that two appeals were filed by the appellant i.e. Criminal Appeal Nos.1287 of 2004 and 1288 of 2004.  The appellant has been acquitted from the charges leveled against him in POTA Case No.8 of 2003.  So far as the prayer for bail in POTA Case No.12 of 2003 is concerned, certain observations were made by the Court while dismissing Criminal appeal No. 1287 of 2004 on 21.9.2004.  The High Court noted that because of acquittal in POTA Case No.8 of 2003 wherein further revival in that case the appeal was infructuous. Obviously, the same relates to Criminal Appeal No. 1287 of 2004. So far as the Criminal appeal No.1288 of 2004 is concerned, the same relates to the POTA Case No.12 of 2003.  The High Court was therefore not justified in holding that the matter was concluded for various reasons in view of the observations made in the appeal relating to POTA Case No.8 of 2003. http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 4.      A perusal of the documents on record shows that Criminal Appeal No.1288 of 2004 related to POTA Case No.12 of 2003. Whether any relief can be granted by the concerned Court in that POTA case was not considered. The confusion arose before the High Court relating to the case numbers. There is no dispute that Criminal Appeal No.1288 of 2004 before the High Court related to POTA Case No.12 of 2003. It appears that the High Court permitted the appellant to take a proper proceeding seeking his release on bail so far as POTA Case No.12 of 2003 is concerned. The High Court apparently failed to notice that Criminal Appeal No.1288 of 2004 related to POTA Case No.12 of 2003. In the circumstances we set aside the impugned order and remit the matter relating to Criminal Appeal No.1288 of 2004 to the High Court to consider the matter afresh in accordance with law. 5.      We make it clear that we have not expressed any opinion on the merits of the case. The appeal is allowed to the aforesaid extent.","Dr. ARIJIT PASAYAT, J. challenges the order passed by the Division Bench of the Gujarat High Court dismissing the appeal filed under Section 34(1) (4) of the Prevention of Terrorism Act, 2000 (in short the ’POTA’",transfer,25.43
" JUDGMENT O R D E R (arising out of SPECIAL LEAVE PETITION (CIVIL)NO.20850 OF 2005) 1.      Leave granted. 2.      The respondent was not satisfied with the order passed by the petitioner-appellant (the Superintending Archaeologist, A.S.I., Calcutta Circle) on 1.3.2002 holding  that respondent was not eligible for appointment on regular basis and for temporary status. The said order was passed pursuant to the direction of the Central Administrative Tribunal issue d on 5.12.2001 in O.A.NO.324/1994 to consider his case for absorption/regularisation.  He, therefore, filed contempt petition before the Central Administrative Tribunal, Calcutta Benc h. The Tribunal passed an order on 10.1.2003 in the said contempt proceeding directing reconsideration of the case of the respondent afresh.  That order was challenged by the appellant before the High Court and the High Court has dismissed the same by the impugned order dated 21.4.2005. 3.      Though the respondent was served with a notice he has not chosen to enter appearance.  If the respondent was not satisfied with the order dated 1.3.2002, he ought to have challenged that order in a separate proceedings.  It could not be said that passing of the said order was a disobedience. Further, the Tribunal could not, in a contempt proceedings, direct the employer to reconsider its decision on merits. The order of the Tribunal and the High Court cannot be sustained. 4.      This appeal is, therefore, allowed and the said orders by the Central Administrative Tribunal and the High Court are set aside.      Liberty is, however, reserved to respondent to challenge the order dated 1.3.2002 in accordance with law.","The High Court has dismissed the same by the impugned order dated 21.4.2005. The appeal is, therefore, allowed and the said orders by the Central Administrative Tribunal and the High Court are set aside. Liberty is, however, reserved to respondent to challenge the order dated 1.3.2002.",civil,44.83
" JUDGMENT O R D E R TRANSFER PETITION(CRL.)NO.171 OF 2007 This is a petition filed under Section 406, Cr.P.C. by the husband, mother-in-law, father-in-law and sister-in-law of   respondent no.2 seeking transfer of Crime Case No.506 of 2005 under Sections 323/504/498A/313/420/306, IPC, titled, ’State v. Ajay Bahadur Singh & Others’ pending before the Fast Track Court-II, Ghaziabad to a court of competent jurisdiction at Ahmedabad. Counsel for the respondents state that certain cases have been filed by the petition ers against respondent no.2 at Ahmedabad.  Counsel for the petitioners states that the following three cases have been filed : 1. Case No.1424/07 titled ’State vs. Upasna Singh’ pending before Chief Metropolitan Magistrate, Court No.19, Gheekanta, Ahmedabad; 2. Case No.5715/07 titled ’State of vs. Upasna Singh’ pending before Executive Magistrate, Court No.1, Collector Office Compound, Ahmedabad; and T.P.(Crl.)No.171/07 .... (Contd.) - 2 - 3. Family Suit No.912/2006 titled ’Ajay Shamsher Bahadur Singh vs. Upasna Singh’ pending before Principal Judge, Family Court, 3rd Floor, Krishi Bhawan, Near Paldi Char Rasta, Ahmedabad. Counsel for the parties agree that all the four cases, the one pending at Ghaziabad and the other three pending at Ahmedabad be transferred and consolidated at Delhi for a composite trial.  Accordingly, we direct that Crime Case No.506 of 2005 titled, ’State v. Ajay Bahadur Singh & Others’ pending before the Fast Track Court-II, Ghaziabad and the three cases as mentioned above, pending at Ahmedabad be transferred to the District & Sessions Judge, Delhi who, on receipt of the case files, may either retain the same on his own Board or assign them to any other court of competent jurisdiction. The transfer petition is disposed of accordingly.","Petition filed under Section 406, Cr.P.C. by the husband, mother-in-law, father- in-law and sister-in.law of   respondent no.2.",transfer,82.81
" J U D G M E N T NON-REPORTABLE CRIMINAL APPEAL NO. 587  OF 2008 [arising out of Special Leave Petition (Crl.) No. 79 of 2006) P.P. NAOLEKAR, J. 1.              Leave granted. 2.              The complainant Rajeshwari lodged a complaint on 4.9.2001 before the learned Additional Chief Judicial Magistrate, Sri Ganganagar against the appellants.  The complaint under Section 156(3) of the Code of Criminal Procedure was sent to the Police Station, Sadar Sri Ganganagar for investigation on which FIR No. 246 of 2001 was registered against the appellants for offences under Sections 498A, 406 and 147 of the Indian Penal Code (IPC).   Challan was filed against the appellants in the Court of learned Additional Chief Judicial Magistrate, Sri Ganga Nagar.  The charges were framed against the appellants for offences under Sections 498A and 406 IPC.  The appellants made a prayer before the Court that the Court of Additional Chief Judicial Magistrate had no jurisdiction to try the offences as the cause of action accrued within the jurisdiction of the other court.  The application was rejected.  The Revision Petition before the learned Sessions Judge, Sri Ganganagar was also rejected.  The High Court dismissed the S.B. Criminal Miscellaneous Petition preferred by the appellants holding that although the marriage was solemnized at Village Ramsara, Tehsil Abohar, District Ferozpur, and right from the marriage, the complainant and her husband Ravindra Kumar were living in Punjab with her in-laws and  her husband had died, and that she is now residing in Sri Ganganagar District in Rajasthan along with her maternal relations, but still offence under Section 498A IPC, being a continuing one, the complaint cannot be dismissed on the ground that it was time barred; and that the offence of cruelty being a continuing  offence is still continuing with the local area of Rajasthan, where at present the complainant is living and, therefore, the Additional Chief Judicial Magistrate, Sri Ganganagar had jurisdiction to try the case.  The Court has found that all the allegations regarding the offences charged with have been committed at the previous residence of the complainant. 3.              It is contended by the learned counsel for the appellants that the question involved is squarely covered by the decision of this Court in Y. Abraham Ajith and Others  vs.  Inspector of Police, Chennai and Another, (2004) 8 SCC 100, wherein this Court has held that cause of action having arisen within the jurisdiction of the court where the offence was committed, could not be tried by the court where no part of offence was committed. 4.              The facts stated in the complaint disclose that the complainant left the place where she was residing with her husband and in-laws and came to the city of Sri Ganganagar, State of Rajasthan and that all the alleged acts as per the complaint had taken place in the State of Punjab.  The Court at Rajasthan does not have the jurisdiction to deal with the matter.  On the basis of the factual scenario disclosed by the complainant in the complaint, the inevitable conclusion is that no part of cause of action arose in Rajasthan http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 and, therefore, the Magistrate concerned has no jurisdiction to deal with the matter.  As a consequence thereof, the proceedings before the Additional Chief Judicial Magistrate, Sri Ganganagar are quashed.  The complaint be returned to the complainant and if she so wishes she may file the same in the appropriate court to be dealt with in accordance with law. 5.              The appeal is accordingly allowed.","The complainant Rajeshwari lodged a complaint on 4.9.2001 before the learned Additional Chief Judicial Magistrate, Sri Ganganagar. The charges were framed against the appellants for offences under Sections 498A and 406 IPC. The appellants made a prayer before the Court that the court had no jurisdiction to try the offences as the cause of action accrued within the jurisdiction of another court.",special leave petitions,27.53
" O R D E R Leave granted. Heard the counsel for the parties. These appeals  are preferred  by the State of Karnataka against the  judgment of  a Division  Bench of the Karnakata High Court  allowing the  two writ  petitions filed  by  the respondent and  declaring that the Karnataka Inams Abolition Laws (Amendment)  Act, 1979  (Karnataka Act 26 of 1979) is a still-born, void  and invalid Act and declaring further that the  Mysore   (Religious  and  Charitable)  Inams  Abolition (Karnataka Amendment)  Act, 1984 is a superfluous enactment. It was  also declared  by the  High Court  that  the  Mysore (Religious and  Charitable) Inams  Abolition  Act,  1955  as amended in  1969 remains  unaffected by  the Karnataka Inams Abolitions Laws  (Amendment) Act,  1979. The decision of the Karnataka Appellate  Tribunal in  Appeal No.  453  of  1977, which was questioned by the State, was also affirmed. The respondent  was the  Inamdar of  a large  extent of land covering  9 villages.  They were  inam lands  and stood abolished under  the Inam  Abolition Act,  1955 with  effect from  1.4.59.  The  main  dispute  herein  pertains  to  the determination  of   the  Basic   annual  sum  to  which  the respondent is  entitled to. By an order dated 1st September, 1957 the  Deputy Commissioner  fixed the Basic annual sum at Rs. 2,815/-.  After the  coming into  force of the Amendment Act 33  of  69,  which  inter  alia  inserted  Section  21-A providing for  review of  the orders  determining the  Basic annual sum,  the  respondent  filed  a  revision  which  was allowed by  the Deputy  Commissioner by  his order dated 5th May, 1976.  Under this  order the Basic annual sum was fixed at Rs.  1,94,875/-. An  appeal preferred  by  the  State  of Karnataka against  the order  of the Deputy Commissioner was dismissed by the Appellate Tribunal. Then followed Amendment after Amendment, which it is not necessary to trace here for the reasons mentioned hereinafter. (Act 26 of 79 was enacted and then  came Act  24 of  1984 and ultimately the Amendment http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 Act of  1995, the last-mentioned during the pendency of this matter in  this Court).  The High  Court has dealt with both the Amendment  Acts viz.,  Act 26 of 79 and Act 24 of 84 and has made  certain  declarations  and  directions.  The  1995 (Amendment) Act,  of course, was enacted and came into force after the impugned judgment was delivered by the High Court. The judgment  of the  High  Court  is  assailed  on  various grounds in these appeals. After hearing  the parties,  we are of the opinion that it  is   not  necessary,   in  the   particular  facts   and circumstances of  this case,  to go  into  or  consider  the several contentions  raised in  these appeals,  or for  that matter, considered  and pronounced  upon by  the High Court. Having regard to the extend of the land concerned herein and all the relevant facts and circumstances, we are inclined to think that  the determination of the Basic annual sum at Rs. 1,94, 875/-  is reasonable  and  adequate.  Accordingly,  we dismiss these  appeals without expressing any opinion on any of the  contentions raised  in these  appeals or,  for  that matter, upon  those considered  and adjudicated  upon by the High Court. Similarly we do not express any opinion upon the effect and validity of the Mysore (Religious and Charitable) Inams  Abolition   Karnataka  Amendment   Act,  1995   being Karnataka Act  29 of  1995. The  said questions  may be gone into in an appropriate case. The appeals  are accordingly  dismissed subject  to the above observations. No costs.","Karnataka Inams Abolition Laws (Amendment)  Act, 1979 is a still-born, void and invalid Act. Mysore (Religious and. Charitable) Inams  Abolition Act, 1955 as amended in 1969 remains unaffected by Karnataka Inam Abolitions Laws. Act, 1984 is a superfluous enactment. The main dispute herein pertains to the determination of the Basic annual sum.",appointment,21.78
" O R D E R Leave granted. We have called for the record to satisfy ourselves whether the Tribunal was justified in giving the direction in the impugned order. On perusal of the record, it is seen that except during the relevant period, either previous or subsequent to the period, the first respondent has outstanding career and the records are very good. The integrity of the officer has not been doubted. Under these circumstances, we think that it is not a case warranting our interference under Article 136 of the Constitution. The appeal is accordingly dismissed.","We have called for the record to satisfy ourselves whether the Tribunal was justified in giving the direction in the impugned order. The integrity of the officer has not been doubted. Under these circumstances, we think that it is not a case warranting our interference under Article 136 of the Constitution. The appeal is accordingly dismissed.",civil,38.07
" JUDGMENT O R D E R CIVIL APPEAL  NO.1467 OF 2008 (Arising out of SLP(C) No.9330 of 2006) We have heard learned counsel for the parties. Delay condoned. Leave granted. This appeal is directed against the judgment and order dated 11th November, 2005 in D.B.Civil Special Appeal (W) No. 290 of 2003 passed by the Division Bench of the High Court of Rajasthan at Jaipur whereby the Division Bench has affirmed the order of the learned Single Judge.  Learned Single Judge has reduced the punishment of dismissal from service to the stoppage of six grade increments with future effect.  Learned Single Judge further directed that 50% of back wages be also paid  from the date of filing of the writ petition. The facts of the case are that the respondent herein was appointed as Constable in the Border Security -2- Force on 13th June, 1975.  Thereafter he was promoted from time to time.  He remained absent for a long time.  Therefore, a notice was issued to him but he did not respond and ultimately, he was removed from service.  This removal was challenged by the respondent (herein)  and the learned Single Judge having regard to the facts and circumstances of the case modified the order of removal from service to the withholding of six grade increments with future effect and awarded 50% of backwages. Aggrieved against this order, the Union of India filed a Letters Patent Appeal before the Division Bench.  The Division Bench affirmed the order of the learned Single Judge.  The Division Bench observed that the appellant herein was aware that the respondent was not keeping well and was also aware about the extension of his leave on medical ground from time to time.  Having regard to this consideration, the Division Bench affirmed the order of the learned Single  Judge. Having regard to the facts and circumstances of the case and that the litigation is going on from a very long time and the respondent is almost on the verge of retirement,   we are not inclined to interfere in this appeal.  However, we modify the order of the Division -3- Bench to the extent that the respondent will not get the benefit of payment of 50% backwages from the date of filing of the writ petition as this misery has been invited by respondent himself. Be that as it may, we are not interfering in this appeal, but we modify the order of the Division Bench to the extent that the punishment recorded by the learned Single Judge and affirmed by the Division Bench of the stoppage of six grade increments with future effect is maintained but he will not be entitled to any http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 benefit of backwages whatsoever.  This is because of the fact that the incumbent is almost reaching at the age of superannuation.  Therefore, looking to these facts, we affirm the order of the Division Bench with the modification that he will not be entitled to any benefit of backwages.  However, this will not affect the retiral benefits of the respondent. The appeal is accordingly, disposed of. The stay order passed by this Court on 11th May, 2006 is vacated.","This appeal is directed against the judgment and order dated 11th November, 2005 in D.B.Civil Special Appeal (W) No. 290 of 2003. The facts of the case are that the respondent herein was appointed as Constable in the Border Security -2- Force on 13th June, 1975. He remained absent for a long time. A notice was issued to him but he did not respond and ultimately, he was removed from service. This removal was challenged by the respondent (herein) and the learned Single Judge modified the order of removal from service to the withholding of six grade increments with future effect. Aggrieved against this order, the Union of India filed a Letters Patent Appeal before the Division Bench.",civil,65.5
" JUDGMENT O  R  D  E  R CRIMINAL APPEAL NO.662 OF 2008 (Arising out of S.L.P. (Crl.) No.4879 of 2005) Heard learned counsel for the parties. Leave granted. We have perused the complaint.  In our view, the petition of complaint does disclose an offence under Section 420 of the Indian Penal Code; as such, the High Court was not justified in quashing the prosecution. The criminal appeal is, accordingly, allowed and the impugned order is set aside. The Trial Court shall now proceed with the trial of the case.","High Court was not justified in quashing the prosecution. The criminal appeal is, accordingly, allowed and the impugned order is set aside. Trial Court shall now proceed with the trial of the case.",criminal,49.31
" JUDGMENT 2000 (3) SCR 946 The following Order of the Court was delivered : The respondent imported a diesel engine set. The invoice thereof showed the price of Rs. 8,50,740 for the said set along with standard spares and accessories. The Customs Department assessed the said set for the purposes of additional duty of Customs under T.I. 68 of the Central Excise Tariff and, accordingly, charged additional duty at the rate of 8 per cent ad valorem. The respondent filed a refund claim. It state mat the said set comprised of a diesel engine and an alternator. It provided the break up of the price of the said set, namely, Rs. 5,95,540 for the diesel engine and Rs. 2,55,200 for the alternator. It claimed that the additional duty should have been charged separately on each of the two components of the said set and the benefit of exemption notifications in this regard should have been given. The refund claim was rejected by the Assistant Collector of Customs. The respondent’s appeal to the Collector of Customs (Appeals) failed. The respondent carried the matter to the Tribunal. The Tribunal applied Section 19 of the Customs Act and came to the conclusion that the two main components of the said set, namely, the diesel engine and the generator, should have been separately assessed to additional duty and the benefit of the applicable exemption notifications given. Against the order of the Tribunal, the Customs authorities have preferred this appeal. In the first place, Section 19 of the Customs Act is inapplicable to the assessment of additional duty under the Customs Tariff Act. Section 19 applies to ""duty"" that is, ""duty under the Customs Act"", as is clear from Section 2(15) of the Customs Act. The method of determination of Customs duty thereunder where goods consist of articles liable to different rates of Customs duty is not applicable for the purposes of assessment of additional duty under the Customs Tariff Act. As is clear from the order of the Tribunal, what respondent had imported was the said set. That was what the invoice referred to and it gave the price for it. That the said set comprised of a diesel engine and an alternator was of no consequence for the purposes of assessment of additional duty. There is no dispute that for the purposes of such assessment of the said set, Tariff Item 68 was applicable. We think, in the circumstances, that the appeal should be allowed and the order of the Tribunal set aside. The order of the authorities below shall regulate the assessment of additional duty on the said set. Order on the appeal accordingly. No order as to costs.",The Customs Department assessed the said set for the purposes of additional duty of Customs under T.I. 68 of the Central Excise Tariff. The Tribunal applied Section 19 of the Customs Act and came to the conclusion that the diesel engine and the generator should have been separately assessed to additional duty.,appointment,65.63
" JUDGMENT The following Order of the Court was delivered : O R D E R 1. These Appeals have been filed against the judgment of the Orissa High Court dated 08th October, 2004 passed in Writ Petition Nos.7230 of 2003 and 2551 of 2003. 2. The facts of the case are mentioned in the impugned judgment of the High Court in great detail and we need not refer to the same except where necessary. 3. Heard learned counsel for the parties and perused the record. 4. It appears that there was an agreement to sell in favour of respondent No.1 herein-Jagdish Rai Puri and for specific performance of the same, a suit was filed which was decreed by the High Court in First Appeal No.348 of 1984 on 30.08.1994. In that judgment, it was mentioned that the plaintiff’s suit for specific performance of contract of sale is decreed and for executing the sale deed, defendant will seek permission from the State Government, as such permission was required as it was a government land. The land had been granted to the respondent No.2 herein who entered into an agreement to sell the land to respondent no.1 in these appeals. 5. From a perusal of the record, it appears that the said permission was refused by the State Government by its order dated 23.5.2003. Against that order, a writ petition was filed which has been decided by the impugned judgment. 6. We have carefully perused the impugned judgment of the High Court. While agreeing with the High Court that the order dated 23.5.2003 refusing permission was unsustainable, we are of the opinion that the High Court should not have directed the State Government to grant the necessary permission for transfer of the said land in favour of the appellant and should not have directed the opposite party No.1 in the said writ petition to have executed the deed of transfer in favour of the appellant. Instead, the High Court should have remitted the matter to the State Government for deciding the application seeking permission to transfer the said land afresh on relevant considerations. 7. Recently, in Civil Appeal Nos.6387-6390 of 2002 decided on 20th November, 2008 titled Union of India & Another vs. Bilash Chand Jain & Another, this Court held that the High Court cannot itself perform the functions which are to be performed by some other authority. If that authority passed an order which the High Court finds is not sustainable in law, the High Court can set aside the said order and remit the matter to the concerned authority for deciding the same afresh in accordance with law, but the High Court should not take over the function of the authority http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 itself. 8. We reiterate the views given in the aforesaid decision which has referred to the earlier decisions of this Court on the point. 9. Accordingly, we allow these appeals and set aside the impugned judgment of the High Court to the extent indicated above and remit the matter to the State Government which shall decide the application seeking permission to transfer the said land afresh in accordance with law within two months from the date of communication of this order after hearing the parties concerned. No order as to costs. Civil Appeal No.3836/2005 10. In view of our decision passed today in Civil Appeal Nos.7934-7935 of 2004, as admitted by the learned counsel for respondent No.3 (appellant in Civil Appeal Nos.7934-7935/2004), the direction of the High Court no longer survives and this appeal has become infructuous. 11. Accordingly, the Appeal is dismissed as having become infructuous.","Appeals have been filed against the judgment of the Orissa High Court dated 08th October, 2004 passed in Writ Petition Nos.7230 of 2003 and 2551 of 2003. It appears that there was an agreement to sell in favour of respondent No.1 herein-Jagdish Rai Puri. A suit was filed which was decreed by the High Court in First Appeal No.348 of 1984 on 30.08.1994.",transfer,40.92
