JUDGMENT,Summarized_text,Labels,Scores
" O R D E R Leave granted. While we are hearing the matter on the procedural part of listing for admission of the writ petitions filed under Article 226/227 of the Constitution of India in Bombay High Court, Mr. Anil B. Diwan, learned senior counsel for the respondents, has stated that a direction may be given to place this matter before the Division Bench for disposal. We think that the appropriate course would be that the matter may be placed before the Division Bench. The learned, Chief Justice of the High Court is requested to place the matter before the Division Bench presided over by him or some other Bench for final disposal. We are informed that against the suit for specific performance decreed by the Civil Judge, City Civil Court F.A. No.869/92 has been filed and the Court has  directed that the appeal also may be tagged along with the writ Petition. We are informed that the matter has already been tagged with the writ petition. In that view of the matter, it would be expedient that both the matters may be disposed of together by the Division Bench. We are informed that the respondents are also anxious to have the matter disposed of. Under these  circumstances, we request the High Court have the  matters disposed of as expeditiously as possible preferably within a period of six months from the date of the receipt of this order. The appeal is accordingly disposed of. No costs.","The matter was listed for admission of writ petitions filed under Article 226/227 of the Constitution of India in Bombay High Court. We are informed that against the suit for specific performance decreed by the Civil Judge, City Civil Court F.A. No.869/92 has been filed and the Court has  directed that the appeal also may be tagged along with the writ Petition. We think that the appropriate course would be that the matter may be placed before the Division Bench.",special leave petitions,28.57
" J U D G M E N T O R D E R Y.K. Sabharwal, J. In view of the order passed in Criminal Appeal No.222 of 1997 (State of Himachal Pradesh v. Pawan Kumar) referring the said appeal to a larger Bench, this appeal is also referred to a larger Bench and be tagged with Criminal Appeal No.222 of 1997.",Criminal Appeal No.222 of 1997 (State of Himachal Pradesh v. Pawan Kumar) referred the said appeal to a larger Bench.,criminal,84.59
" Santosh Hegde, J. These appeals are against the judgment and order dated 19.4.1983  passed  by the High Court of Punjab & Haryana  in Civil  Writ  Petition  Nos.2621  and   2622  of  1976.   The appellant  who  was  the petitioner before the  High  Court, filed the aforesaid writ petitions challenging an order made by   the  second  respondent   herein  appointing  the   3rd respondent  as  an  arbitrator under the provisions  of  the Punjab Cooperative Societies Act, 1961 (for short the Act) which  petitions  came to be dismissed by the Full Bench  of the  High Court, following an earlier Full Bench judgment of the  same  High Court which is since reported as Mam Raj  v. State of Haryana & Ors.  (AIR 1982 P & H 211). In  these  appeals, it is contended by  the  appellant that  the provisions of Section 55(1)(b) of the Act are  not applicable  with  regard to any dispute arising  between  an employee  of  a Cooperative Society and another  Cooperative Society  and  the dispute in the instant case being  between Shahbad  Farm  Cooperative Marketing cum Processing  Society Ltd.   (for  short the Shahbad Society) and an employee  of Nalvi  Cooperative  Agricultural Service Society (for  short the  Nalvi  Society),  such dispute could  not  have  been referred to an arbitrator under the provisions of the Act. In support of his contention, the appellant has sought to  place  reliance  on a judgment of this Court  in  Deccan Merchants Co-operative Bank Ltd.  v.  M/s.  Dalichand Jugraj Jain  &  Ors.  (1969 1 SCR 887).  In our opinion, the  ratio laid  down  in  the said judgment is not applicable  to  the facts  of  this  case.   The dispute in  that  case  was  in relation  to a property leased by a member of the Society to the  Society  and  the question was whether such  a  dispute comes  under the purview of the arbitration clause  provided for  in  the  Act.  There, it was held by  this  Court  that though  the  person who leased the property to the  Society, was  a member of the Society, the nature of the dispute  was such  that it did not pertain to the management and business of  the  Cooperative  Society.   In the  instant  case,  the appellant  though  was  employed by the Nalvi Society  as  a salesman was, in fact, a member of the Shahbad Society.  The dispute  in  question  was  with   reference  to  an  amount collected  by the appellant which was payable to the Shahbad http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 Society.   Therefore,  the claim of the Shahbad  Society  is certainly  the one pertaining to the management and business of  the  Shahbad  Society.  Therefore, in our  opinion,  the dispute  squarely falls within Section 55 of the Act.  It is unfortunate that the appellant in his special leave petition did  not  disclose  this fact that he was a  member  of  the Shahbad  Society.  On the contrary, he had only  highlighted the  fact that he was an employee of the Nalvi Society  and, as  such,  the dispute between him and the  Shahbad  Society could  not  come  under Section 55 of the Act.  It  is  only after  a counter was filed on behalf of the Shahbad  Society that  it  has  come on record that the appellant is  also  a member  of the Shahbad Society.  To this extent it should be said  that  the  appellant  was not fair to  this  Court  in presenting  his  case.  It has also come on record that  the arbitrator has already passed an award against the appellant and it is only by virtue of the interim order passed by this Court  that that award is not yet executed.  At any rate, we having  come to the conclusion that in view of the fact that the  appellant  is a member of the Shahbad Society and as  a member  any  amount due from him to the Society, would  come within  the  purview  of  the   dispute  touching  upon  the management and business of the Society.  We find no merit in these appeals and the same are dismissed with costs.","High Court of Punjab & Haryana dismisses appeals against order appointing arbitrator under Punjab Cooperative Societies Act, 1961. Dispute was between Shahbad Farm  Cooperative Marketing cum Processing  Society Ltd. and an employee of Nalvi Cooperative  Agricultural Service Society. The dispute was in relation to a property leased by a member of the Society.",special leave petitions,29.81
" J U D G M E N T S. N. VARIAVA, J. Before this Court a large number of Appeals have been filed by the Haryana Urban Development Authority and/or the Ghaziabad Development Authority challenging Orders of the National Consumer Disputes Redressal Commission, granting to Complainants, interest at the rate of 18% per annum irrespective of the fact of each case.  This Court has, in the case of Ghaziabad Development Authority vs. Balbir Singh reported in (2004) 5 SCC 65, deprecated this practice.  This Court has held that interest at the rate of 18% cannot be granted in all cases irrespective of the facts of the case.  This Court has held that the Consumer Forums could grant damages/compensation for mental agony/harassment where it finds misfeasance in public office.  This Court has held that such compensation is a recompense for the loss or injury and it necessarily has to be based on a finding of loss or injury and must co-relate with the amount of loss or injury.  This Court has held that the Forum or the Commission thus had to determine that there was deficiency in service and/or misfeasance in public office and that it has resulted in loss or injury.  This Court has also laid down certain other guidelines which the Forum or the Commission has to follow in future cases. This Court is now taking up the cases before it for disposal as per principles set out in earlier judgment.  On taking the cases we find that the copies of the Claim/Petitions made by the Respondent/Complainant and the evidence, if any, led before the District Forum are not placed in the paper book. This Court has before it the Order of the District Forum.  The facts are thus taken from that Order. In this case, the Respondent was allotted a plot bearing No.50, Sector-21, Gurgaon, on 19th May, 1986.  All payments were made, but the possession was not given as the plot was under litigation and development work could not take place.  On 20th May 1997, the Respondent was offered an alternate plot No.20 in Sector-5, Gurgaon, but at an enhanced price.  The Respondent agrees to take the alternate plot and files a complaint challenging the enhancement of price. The District Forum directs payment of interest @ 10% after two years from the date of deposit till possession is given and directs that the alternate plot must be delivered at the original price.  The District Forum also directs that if there has been enhancement in the price of the original plot then such enhancement could be collected but no interest could be charged on this enhanced amount. The State Commission dismissed the Appeal filed by the Appellants.  The National Commission dismissed the revision on the ground of delay of 63 days. In this case, the possession has already been taken by the http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 Respondent.  Interest @ 10% has also been paid on 31st July 2003. Thus, even though we do not approve of the National Commission dismissing the revision for a mere delay of 63 days, in our view, no useful purpose would be served in remitting the matter back.  In our view, the Order of the District Forum is just and has to be maintained. We clarify that this Order shall not be taken as a precedent in any other matter as it has been passed by taking into account special features of the case.  The Forum/Commission will follow the principles laid down by this Court in the case of Ghaziabad Development Authority vs. Balbir Singh (supra) in future cases. Accordingly, we dismiss the Appeal with no order as to costs.",A large number of Appeals have been filed by the Haryana Urban Development Authority and/or the Ghaziabad Development Authority challenging Orders of the National Consumer Disputes Redressal Commission. This Court has held that interest at the rate of 18% cannot be granted in all cases irrespective of the facts of the case. We dismiss the Appeal with no order as to costs.,appointment,39.57
" J U D G M E N T Shah, J. I am in respectful agreement with the reasons recorded by learned brother Pasayat, J. in arriving at the conclusion that the review petitions are required to be dismissed.  Still however, I record my dissent with regard to sentence aspect. R.P. (Crl.) No.497 of 2002 In W.P. (Crl.) No.993 of 2001. In this case, it is to be stated that I had arrived at the conclusion that the prosecution case depends solely upon the confessional statement.  The reasons recorded therein for acquitting him are not required to be reiterated.  However, considering the majority view also, in my opinion, if death sentence is altered to imprisonment for life, it would be sufficient to meet the ends of justice. R.P. (Crl.) Nos.626 and 627 of 2002 In Crl. A. No.761 of 2001. In this case, it is to be stated that appeal of the main accused Bihari Manjhi and others was allowed and were acquitted on the basis that there was no other evidence except the so-called confessional statement which was totally unreliable and faulty investigation  This is also a fit case for altering the death sentence and imposing sentence of imprisonment for life. For this purpose, I would rely upon the dissent noted by Thomas, J. in Suthendraraja alias Suthenthira Raja alias Santhan and others v. State [(1999) 9 SCC 323) which is reproduced hereunder: ""17.    The Constitution Bench in Bachan Singh v. State of Punjab [(1980) 2 SCC 684] has narrowed down the scope for awarding death sentence to the extremely restricted radius of ""rarest of rare cases"" in which the alternative lesser sentence of imprisonment for life is unquestionably foreclosed.  In the main judgment in the present case one of the three Judges found that sentence of imprisonment for life would be sufficient to meet the http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 ends of justice as far A-1 Nalini. 18.     In a case where a Bench of three Judges delivered judgment in which the opinion of at least one Judge is in favour of preferring imprisonment for life to death penalty as for any particular accused, I think it would be a proper premise for the Bench to review the order of sentence of death in respect of that accused. Such an approach is consistent with Article 21 of the Constitution as it helps saving a human life from the gallows and at the same time putting the guilty accused behind the bars for life.  In my opinion, it would be a sound proposition to make a precedent that when one of the three Judges refrains from awarding death penalty to an accused on stated reasons in preference to the sentence of life imprisonment that fact can be regarded sufficient to treat the case as not falling within the narrowed ambit of ""rarest of rare cases when the alternative option is unquestionably foreclosed"". In the result, in my opinion, Review Petition (Crl.) No.497 of 2002 filed by Devender Pal Singh in Crl. Appeal No.993 of 2001; Review Petition (Crl.) No.626 of 2002 filed by Dharmendra Singh @ Dharu Singh in Criminal Appeal No.761 of 2001 and Review Petition (Crl.) No.627 of 2002 filed by Krishna Mochi and others in Criminal Appeal No.761 of 2002, be partly allowed and their sentence be altered to imprisonment for life.","Nalini: The prosecution case depends solely upon the confessional statement. The reasons recorded therein for acquitting him are not required to be reiterated. If death sentence is altered to imprisonment for life, it would be sufficient to meet the ends of justice.",transfer,34.98
" ORDER If  any seats are vacant on December 1, 1993 in any  of  the medical  colleges in the State of Karnataka, it is  open  to the   Secretary,  Education  Department,  to   request   the appropriate  authority  to allot students belonging  to  the particular  category,  out of merit list  already  prepared. The  order dated November 19, 1993 shall be read subject  to this order.  IA is disposed of accordingly.","If seats are vacant on December 1, 1993 in any of the medical colleges in the State of Karnataka, it is open to the   Secretary,  Education  Department, to request   authority to allot students belonging  to  the particular category. The  order dated November 19, 1993 shall be read subject to this order.",civil,26.44
" B.N.AGRAWAL, J. Leave granted. Judgment impugned in this appeal has been rendered by Jodhpur Bench of the R ajasthan High Court whereby criminal appeal preferred by the appellants has been dismissed confirming the convictions and sentences awarded against the appellants by the trial court under Sections 3 26 and 325 read with section 34 of the Indian Penal Code. The said criminal appeal was filed in the year 1987 and duly admitted.  The same was placed for hearing in the year 2001 and after hearing the parties, the High Court passed an order in four pages.  The impugned judgment, runs into seven paragraphs and after referring to the prosecu tion case  and defence version in paras 1 to 5, the Court has disposed of the appeal in two paragraphs whic h run thus:- ""6.     After re-appreciation of the evidence and re-scrutiny of the record, I find that there is no error apparent in the finding recorded by the learned Judge, therefore, there is no reason to interfere in the order of conviction passed by the learned Judge. 7.      In the result, therefore, the present appeal is dismissed."" The impugned judgment has been challenged on the sole ground that the High Court has not disposed of the appeal in the manner postulated under law inasmuch as it does not appear from the impugned judgment as to how many witnesses were examined on behalf of the prosecution and on what point.  The High Court has not even referred to any evidence much less considered the same.  In our view, it is a novel method of disposal of criminal appeal against conviction by simply saying that after re-appreciation of the evidence and re-scrutiny of the records, the Court did not find any error apparent in the finding of the trial court even without reappraising the evidence.  In our view, the procedure adopted by the High Court is unknown to law.  It is well settled that in a criminal appeal, a duty is enjoined upon the appellate court to reappraise the evidence itself and it cannot proceed to dispose of the appeal upon appraisal of evidence by the trial court alone especially when the appeal http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 has been already admitted and placed for final hearing.  Upholding such a procedure would amount to negation of valuable right of appeal of an accused which cannot be permitted under law.  Thus, we are of the view that on this ground alone, the impugned order is fit to be set aside and the matter remitted to the High Court. Accordingly, the appeal is allowed, impugned order passed by the High Court is set aside and the matter is remitted to that Court for disposal of the appeal in accordance with law a fter giving opportunity of hearing to the parties. .J. [ M.B.SHAH ] ....J. April 5, 2002.                                                  [ B.N.AGRAWAL ]","The appeal was filed in 1987 and duly admitted. The same was placed for hearing in the year 2001 and after hearing the parties, the High Court passed an order in four pages. The impugned judgment, runs into seven paragraphs and after referring to the prosecu tion case and defence version in paras 1 to 5, the Court has disposed of the appeal in two paragraphs.",transfer,30.75
" O R D E R Leave granted. With regard to the lands covered by the sale deed dated October  16,   1971,  pursuant   to  our   directions  dated 14.8.1995, the  respondent has  filed documents to establish that he  was under  compelling necessity to sell the land to discharge the  loans taken  from the  Andhra Bank  since the Bank was proceeding against his property for recovering dues payable to  the Bank. Therefore, we find that the sale dated October 16,1971 was not intended to defeat the provisions of the Andhra  Pradesh Land  Reforms (Ceiling  on  Agricultural Holdings) Act, 1973. But with regard to the lands covered by the two  agreements of  sale, in view of the judgment of the Constitution  Bench  of  this  Court  and  also  an  earlier judgment, the  lands covered under those agreements shall be included in  the holding  of the  purchaser as  well as  the owner as agreement of sale does not divest the rights in the land. The computation shall be made accordingly. The appeal is accordingly allowed in part. No costs.","The sale deed dated October 16, 1971 was not intended to defeat the provisions of the Andhra  Pradesh Land  Reforms (Ceiling  on  Agricultural Holdings) Act, 1973. The appeal is accordingly allowed in part. No costs.  O R D E R Leave granted.",special leave petitions,35.85
" WITH CIVIL APPEAL N0S.6747,6744-46, 6748-50 of 1996 (Arising out of SLP (C) Nos. 8933 /95 (CC-2370), 17565, 17805, 18185, 27180, 5205 and 17897 of 1995) O R D E R Leave granted. We have heard the learned counsel on both sides. In the  appeal arising out of SLP (C) No.15356/92 dated February 26,  1996, the  Division Bench of the High Court in W.P.2333/1983 by order dated July 29, 1991 directed that the appellants cannot  insist upon  the respondents conceding to the title  of the  Government. It  directed the appellant to renew the licence without insisting upon conceding the title of the  appellant. In  the appeal,  this Court had held that for obtaining  licence/renewal, title  to the  property or a lease from  the owner  is a  pre-condition In that case, the Deputy Collector  had held  that the respondent had title to the property  and appeal  thereon was  pending.  Accordingly this Court  had directed  the appellant  to grant renewal of the licence pending decision on title. In these  cases, admittedly,  no decision  on title has yet  been  given  by  any  authority.  The  respondents  are directed to file their claims before the competent authority (Collector/District Magistrate,  as the  case may be) within one month from today either as an owner or a lessee from the owner. The  competent authority  is directed to issue notice to the Central Government and after considering the material and affording  an opportunity  of hearing  and after  taking into consideration  the law on vestings dispose of all those applications on  title. Subject  to the  result therein, the licences under the Salt Act would be issued/renewed. Pending decision, the  appellants are directed to grant renewal. The authority is  directed to  dispose of those matters within a period of  six months  from the  date of  the receipt of the copy of the order. The appeals are accordingly disposed of. No costs. http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2","High Court in W.P.2333/1983 by order dated July 29, 1991 directed that the appellants cannot insist upon the respondents conceding to the title of the Government. In the appeal,  this Court had held that for obtaining licence/renewal, title  to the  property or a lease from the owner is a pre-condition.",civil,70.96
" JUDGMENT O  R  D  E  R (Arising out of S.L.P. (C) No.12776 of 2006) Leave granted. Heard learned counsel for the parties. In the facts and circumstances of the case, we feel that the direction should be given to the Trial Court to dispose of the suit within a time schedule.  Accordingly, we direct the Trial Court to dispose of the suit within a period of nine months from the date of receipt/production of copy of this order. All the parties shall cooperate to dispose of the suit, as directed. It is further directed that, till the disposal of the suit by the Trial Court, interim order passed by this court on 14th August, 2006, shall continue to operate. The civil appeal is, accordingly, disposed of."," Leave granted. Heard learned counsel for the parties. Directed the Trial Court to dispose of the suit within a period of nine months from the date of receipt/production of copy of this order. The civil appeal is, accordingly, disposed of.",civil,66.46
