index,JUDGMENT,Summarized_text,Labels,Scores
1360," CRIMINAL APPELLATE JURISDICTION : Criminal Appeal No. 118 of 1978. (Appeal  by Special Leave from the Judgment and Order  dated 11th  January,  1978 of the Punjab & Haryana High  Court  in Criminal Misc.  No. 129-M of 1978). S.   K. Alehta for the Appellant. M.   M. Punchhi and P. C. Bhartari for the Respondent. ORDER The  offence alleged in this case against the  appellant  is one under Section 5(2) of the Prevention of Corruption  Act. Bail was granted by the Sessions Judge after hearing counsel on both sides but it was cancelled by the High Court  mainly for  the reason that the appellant had simultaneously  moved for  bail  in  the Sessions as well as  in  the  High  Court without  disclosing to the Sessions Court that he had  moved for  bail in the High Court.  This naturally made  the  High Court  feel that the party was not straight-forward  in  his dealings, with the Court.  The consequence was that the bail http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 already granted was reversed. Counsel for the State pressed before us that the  corruption of which the appellant was guilty prima-facie (according  to the  results of the investigation) was substantial.  Let  us assume  so.   Even then refusal of bail is not  an  indirect process  of  punishing  an  accused  person  before  he   is convicted.  This is a confusion regarding the rationale,  of bail.  This 128 Court has explained the real basis of bail law in  Gurcharan Singh  & ors. etc. v. State (Delhi Administration) (1).   We do  not  think there is as yet any  allegation  against  the appellant  of  interference with the course  of  justice  or other well-established grounds for refusal of bail.  In this view, we direct that the appellant be allowed to continue on bail  until  further orders to the contrary  passed  by  the Sessions  Court  if  good  grounds  are  made  out  to   its satisfaction. S.R. Appeal allowed. (1) (1978) 2 S.C R. 358. 129","Bail was granted by the Sessions Judge after hearing counsel on both sides. It was cancelled by the High Court mainly for the reason that the appellant had simultaneously moved for bail in the Sessions and High Court. The High Court felt that the party was not straight-forward in his dealings, with the Court.",special leave petitions,33.66
1361," J U D G M E N T Leave granted.  Heard learned  counsel  for  booth  the parties. Second defendant  is the appellant. Suit for partition, separate  possession   and  profits   instituted  by     the plaintiff_first  respondent    has  been  decreed    by  the appellate Court  with the  following shares  plaintiff 1/12, first defendant  5/12 and  second defendant  6/12. The  High Court has  modified the said shares in the following manner: plaintiff 1/12,  first defendant  7/12 and  second defendant 4/12. Since  fils share  has been reduced by the High Court, the present has been preferred by the second  defendant . One Atmaram,  who died on January 13,1971,had two wives - Janki  Bai and  Rama Bai. Plaintiff Indira Bai and the 4th defendant latya  are the  children by  Janaki  Bai.  Whereas first defendant Krishna and second defendant Baliram are the sons through  Rama Bai. Rama Bai was alive when the suit was instituted and  she was  impleaded as  the third  defendant. Pending the  suit Rama  Bai died and defendants 1 and 2 -her sons -  have been  impleaded as  her legal  representatives. This  was   done  notwithstanding  the  plea  of  the  first defendant  Krishna   that  Rama  Bai  has  executed  a  will bequeathing her  entire interest   in  his favour  aline. In this appeal  we are  not concerned  with the  shares of  the plaintiff and defendants 1 and 2. Here again the plaintiff’s share at  1/12 is  not in  dispute. The  dispute  really  is between  defendants   1  and  2.  The  appellate  court  had determined the  shares  of  defendant  1  and  defendant  2, keeping aside  the will relied upon the first defendant . On the other hand, the High Court has accepted the will as true and accordingly  modified the shared of these two defendants as 7/12 and 4/12 respectively. In our  opinion, the  High Court  was not  justified in modifying the  shares as  aforesaid . Firstly, the will said to have  been executed  by Rama  Bai in  favour of the first http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 defendant was  not in  issue in  the suit  nor in  the  L.R. application and  no finding  with respect  to its  truth and validity has  been recorded.  Notwithstanding the said will, both the  brothers defendants  1 and 2 were impleaded as the L.Rs. of  Rama Bai  . Moreover, since the first defendant is seeking to  alter the  normal rule  of succession by putting forward the said will, the burden lies upon him to establish the truth and validity of the will. For the  above reasons,  we set  aside the judgment and decree of the High Court and restore the judgment and decree of the  first Appellate  Court. It   is, however, made clear that it  shall be  open to  the first defendant to establish the truth  and validity  of the  said will in an appropriate suit/proceeding in  which event, it is obvious, the inter se shares as  between the  present defendants  1  and  2  shall depend the  finding of  competent court  regarding the truth validity of the will. The second  appeal is  accordingly allowed in the above terms. No costs.","Second defendant is the appellant. Suit for partition, separate possession  and profits instituted by plaintiff. One Atmaram,  who died on January 13, 1971,had two wives - Janki  Bai and Rama Bai. Rama  Bai died and defendants 1 and 2 -her sons - have been  impleaded as her legal  representatives.",appointment,43.53
1362," JUDGMENT O R D E R NON-REPORTABLE CIVIL APPEAL NO.3243 OF 2008 (Arising out of SLP)No.10445 of 2007) 1.      Leave granted. p2.     This appeal is directed against an order dated 24th of January, 2007 passed by a Division Bench of the High Court of Judicature at Patna in LPA NO.1348 of 2005 by which the writ petition filed by the writ petitioner/appellant was dismissed not on merits but on the ground of delay and latches. 3.      On grant of leave, we have heard the learned counsel for the parties. Having heard the learned counsel for the parties and after examining the orders of the High Court, viz., the order of the Division Bench impugned in this appeal and the order of the learned Single Judge, we are of the view that the Division Bench as well as the learned single Judge of the High Court were not justified in rejecting the writ petition as well as the writ appeal on the ground of delay and latches as the writ petitioner i.e. the appellant had moved the writ petition before the High Court against the decision of the State Government only in 1996, i.e. after 4 years from the date of passing of such order. The Division Bench as well as the learned Single Judge, in our view, had committed an error in holding that the pendency of the review/representation of the writ petitioner/appellant could not be taken to be a ground for condoning the delay after 4 years of the decision of the State Government. In our view, the High Court had fallen into error in not holding that the appellant had sufficiently explained why the writ petition could not be moved or why it was moved after 4 years of the decision of the State Government. Since the appellant had filed a representation/review of the decision of the State Government, it was expected by him that an order should be passed on the said representation/review. Therefore, in our view, the delay in moving the writ application against the decision of the State Government was sufficiently http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 explained by the appellant and, therefore, the writ petition ought not to have been dismissed on the ground of delay and latches. Accordingly, we set aside the impugned orders of the Division Bench as well as of the learned Single Judge.  The writ petition is, accordingly, restored to its file. The High Court is requested to decide the writ petition on merits in accordance with law after giving opportunity of hearing to the parties and after permitting the parties to exchange their affidavits, if not already exchanged in the meantime. Accordingly, the appeal is allowed to the extent indicated above. There will be no order as to costs.","This appeal is directed against an order dated 24th of January, 2007 passed by a Division Bench of the High Court of Judicature at Patna. The writ petition filed by the writ petitioner/appellant was dismissed not on merits but on the ground of delay and latches. The High Court is requested to decide the writ petition on merits in accordance with law after giving opportunity of hearing to the parties.",civil,36.01
1363," O R D E R Leave granted. We have heard the learned counsel on both sides. Notificaticn under Section 4[l] of the Land Acquisition Act,  1894   was  published   on  17th  October,  1981.  The possession of  the land  was taken in January 1982. The Land Acquisition  Officer  in  his  award  dated  July  31,  1982 determined compensation @ Rs.2,000/- per acre. On reference, the civil  Court by  award and decree dated November 7, 1983 enhanced the compensation to Rs.4,000/- per acre. On appeal, the High  Court by Judgment and decree dated August, 9, 1989 enhanced the compensation to Rs.6,000/- per acre and awarded interest under  the unamended Act as per the State amendment Thus this appeal by special leave. In view  of the  fact that the Land Acquisition officer has made  the award  on  July  31,  1982,  i.e.,  after  the introduction of the Amendment Act 68 of 1984 on the floor of the Parliament, the claimants are entitled to interest under Section 34 @ 9% per annum from the date of taking possession till date  of the award. They are entitled to interest @ 15% on enhanced  compensation after  the  expiry  of  one  year. Equally so  on the enhanced compensation from the respective dates till  the date  of  deposit  in  the  Court.  Equally, solatium @  30% under  Section 23  [2]  is  required  to  be deposited on the additional amount. The appeal  is accordingly allowed to the above extent. No costs.","Notificaticn under Section 4[l] of the Land Acquisition Act, 1894 was published on 17th October, 1981. The possession of  the land  was taken in January 1982. The Land Acquisition Officer in his award  dated  July  31, 1982 determined compensation @ Rs.2,000/- per acre. On appeal, the High  Court by Judgment and decree dated August, 9, 1989 enhanced the compensation to Rs.6,000/acre.",special leave petitions,64.04
1364," JUDGMENT ORDER In the above petitions an application has been filed by the Union of India seeking stay of the direction dated 1.3.2005 made by the High Court of Gauhati in Writ Petition c No. 09 of 2005 and others. By the said order the High Court has directed the Secretary to the Government of India, Ministry of Coal, New Delhi, Chairman, Coal India Ltd., Kolkata and Regional Manager, Metal Scrap Trading Corporation Ltd., Kolkata to appear in person before the Court and produce the relevant documents required by the court. The learned Solicitor General appearing for the applicant has submitted that though the copies of the documents required by the court are already on record, still the originals of the same will be made available to the Court as directed by it, hence, personal presence of the officers named herein above may be dispensed with. We think on the facts and circumstances of this case it is reasonable prayer hence, we direct the officers named in the order of the High Court and referred to herein above to direct the production of the required documents through any designated officers or through their counsel appearing in the High Court on 8th of March, 2005. We make this order on an assurance given by the learned Solicitor General. On that basis we stay the direction of the High Court for the personal presence of the above named officers of the time being. The learned Solicitor General then submitted that nearly 3.4 lacs metric tons of coal is lying in stock in open yard with the North Eastern Coalfields, and because of the delay in disposal of the writ petition by the High Court the said stock of coal is getting deoxydised, because of which the quality of coal is deteriorating. He submitted if the claim of the respondents named herein above is to be upheld that Would only require about 8 rakes of coal to satisfy their need hence, North Eastern Coalfields is willing to supply the same at the rates prevailing in the month of December, 2004 to the named respondents herein subject to the condition that they would file an indemnity bond before the High Court undertaking to pay the difference in value in the event of their claim failing before the High Court. He also prays that the balance stock of coal in the North Eastern Coalfields may be permitted to be sold to the highest bidders in ‘E’ - Auction, to prevent the loss to the said Coalfields. We think this is also a reasonable offer, therefore, we direct the respondents named herein above, if they so desire to collect such quantity of coal which they last purchased from Northern Coalfields, to approach the authorities of North Eastern Coalfields land collect the said quantity of coal at the rate mentioned herein above within two weeks from today after furnishing the undertaking. If the said respondent companies fail to lift the coal as permitted to them by this order and on conditions herein, it will be open to North Eastern Coalfields to dispose of the same in accordance with their new policy. http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 This interim order is made because of the facts and circumstances of this case. As observed in the order dated 14th of February, 2005 we once again request the High Court to dispose of the writ petitions at an early date preferably by 15th of March, 2005 since we are told that the arguments in the petitions are almost complete. Ordered accordingly.","The High Court has directed the Secretary to the Government of India, Ministry of Coal, New Delhi, Chairman, Coal India Ltd., Kolkata and Regional Manager, Metal Scrap Trading Corporation Ltd. to produce the relevant documents required by the court. The Union of India has filed an application seeking stay of the direction dated 1.3.2005 made by the High Court.",appointment,28.79
1365," The 27TH DAY OF JANUARY, 1997 Present: Hon’ble Mr. Justice K. Ramaswamy Hon’ble Mr. Justice G.T.Nanavati Janaranjan Das and K.N.Tripathy, Advs. for the appellants Indrajit Roy and P.N.Misra, Advs. for the Respondent O R D E R The following Order of the Court was delivered: O R D E R Delay condoned. Leave granted. We have heard learned counsel on both sides. By order  dated  November  8,  1996  the  petition  was dismissed as  against the  first petitioner,  Bhikari Behera and notice  was ordered  in respect  of  the  remaining  two petitioners, namely,  Pramod Kumar  Mantri, Bhagirathi Rout. The case of the prosecution is that on May 28, 1988 at about 10.00 a.m., all the three accused armed with Thengas entered into the  house of  deceased Bauribandhu. A-1 had hit him on the head  twice and  threw his  down. Thereafter,  the three accused had  dragged the  deceased outside  the house.  When wife and  son of  the deceased  raised alarm,  they ran away from the  place. FIR  was lodged  at about  11.30  A.M.  and thereafter investigation  was conducted.  The appellants and two others  have been  charged under  Section 302  read with under Section  149 I.P.C.  The Courts  below  convicted  the appellants for  an offence punishable under Section 302 read with Section  34  I.P.C.  As  regards  the  assault  by  the appellants, there is no corroborating evidence by the doctor as to  dragging of  the deceased  by the  accused. Even  the evidence of  the eye-witnesses  is  discrepant  on  material particulars. Accused Nos. 2 and 3 were standing behind PW-2. If really  all the  three accused had entered into the house all of  them would  have attacked  the deceased. That is not the case  of the prosecution. Under these circumstances, the prosecution cannot  be said to have proved beyond reasonable doubt that  the appellants  shared the common intention with A-1 to  kill the  deceased. Even  the evidence  of PW-1 that they entered  the house  and dragged  the  deceased  is  not reliable since  the admission  in the  cross-examination  is http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 that there  was no  blood stain  outside the  house. Had the dragging really been there, there would be trail of blood. The appeals are accordingly allowed. The conviction and sentence of the appellants Nos. 2 and 3 for an offence under Section 304, Part II, IPC stand set aside.","The case of the prosecution is that on May 28, 1988 at about 10.00 a.m., all the three accused armed with Thengas entered into the house of  deceased Bauribandhu. A-1 had hit him on the head  twice and  threw his  down. Thereafter,  the accused had  dragged the  deceased outside the house. When wife and  son of the deceased raised alarm,  they ran away from the place. FIR was lodged at about 11.30  A.M. and thereafter investigation was conducted. The appellants and two others have been charged under  Section 302 read with under Section 149 I.P.C.",appointment,34.22
1366," JUDGMENT O R D E R CIVIL APPEAL NO 1606 OF 2008 (Arising out of SLP (C) No 5140 of 2008 CC 2618 of 2008 ) 1.      Delay condoned. 2.      Leave granted. 3.      This appeal is filed by way of a special leave petition against the final judgment and order of the High Court of Andhra Pradesh at Hyderabad dated 25th of October, 2007 in Second Appeal No. 539 of 2006 whereby a learned Judge of the High Court had dismissed the second appeal filed by the appellant and affirmed the orders of the courts below. 4.      A suit for eviction of the appellant from the suit premises was instituted by the plaintiff/respondent which was decreed by the trial court and the decision of the trial court was affirmed by the first appellate court and finally, the second appeal of the appellant was dismissed. Before the High court in the second appeal, the only question that was raised was whether in the present case, notice under Section  106 of the Transfer of Property Act should be restricted to 6 months or 1 month. All the three courts below held that tenancy was from month to month and accordingly, the second appeal was dismissed and the orders of the courts below were affirmed. This special leave petition has now been filed against the aforesaid judgment in second appeal affirming the judgments of the courts below in respect of which leave has already been granted. 5.      Mr. A. Subba Rao, the learned counsel appearing for the appellant restricted his arguments to the order passed by the learned single Judge, which is as follows: - ""Having regard to the facts and circumstances of the case, the appellant is granted time up to the end of May 2008, on condition that he furnishes an undertaking before the trial court, within four weeks from today, to the effect that he will put the respondent herein in vacant possession and continues to pay the rents regularly. In default, apart from being liable to be evicted, the appellant shall be liable to pay the damages at the rate of Rs. 10,000/- per month beyond 31.05.2008."" 6.       According to Mr. Rao, the High Court was in error to direct the appellant to pay damages at the rate of Rs.10,000/- per month if the appellant continues to remain in possession of the suit premises after 31st of May, 2008 which was granted by the High Court in the impugned judgment. Mr. Nikilesh Ramachandran, learned counsel http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 appearing for the respondent, conceded that this direction of the High Court was in fact not justified.  Considering the fact that proceedings for mesne profit under Order 20 Rule 12 of the Code of Civil Procedure shall be proceeded with in accordance with law and in view of the concession of learned counsel for the respondent, direction to pay damages at the rate of Rs.10,000/- per month, if the appellant continues to remain in possession after 31st of May, 2008 must be set aside. Therefore, we set aside the portion to the effect that the appellant shall be liable to pay damages at the rate of Rs.10,000/- per month if he continues to remain in possession of the suit premises after 31st of May, 2008. 7.      For the reasons aforesaid the appeal is disposed of by deleting the portion as quoted hereinabove.  However, the appellant is granted nine months time from today to vacate the suit premises on payment of Rs.2,000/- per month subject to filing of usual undertaking in this Court within a period of four weeks from this date.","This appeal is filed by way of a special leave petition against the final judgment and order of the High Court of Andhra Pradesh at Hyderabad dated 25th of October, 2007 in Second Appeal No. 539 of 2006. A suit for eviction of the appellant from the suit premises was instituted by the plaintiff/respondent.",special leave petitions,49.51
1367," J U D G M E N T (Arising out of SLP (Civil) No. 6902 of 2005) Dr. ARIJIT PASAYAT, J. Leave granted. Challenge in this appeal is to the judgment rendered by a learned Single Judge of the Jharkhand High Court.  The plaintiff, who had filed the second appeal before the High Court under Section 100 of the Code of Civil Procedure, 1908 (in short the ’Code’), has filed this appeal. Detailed reference to the factual aspect is really unnecessary. Plaintiff had filed the suit for declaration of title as well as confirmation of possession over the suit land.  The description of the property was given as plot No. 51 measuring 36 decimal of land appertaining to Khata No. 80 of Village Japla, Dhorhara, District Palamu.  The suit was dismissed by the learned Munsif Daltonganj. An appeal was carried before the first appellate court.  In the appeal, learned VIII Additional District Judge, Palamau held that the appellant’s claim was to be accepted in respect of 22 decimal of land and that the defendants had got possession over 14 decimals of land.  Appellant filed appeal under Section 100 of the Code questioning correctness of the view expressed by the first appellate court. The following question was formulated in the second appeal treating the same to be a substantial question of law. ""Whether the Court of appeal below erred in law in rejecting plaintiff’s claim over 14 decimals out of total 36 decimals land of plot No. 51, when Raiyati Settlement obtaining in 1342 Fasli was not negatived."" It is to be noted that the defendants had not questioned correctness of the judgment and decree of the first appellate Court.  Hereafter starts the confusion. Though the defendants had not questioned correctness of the view expressed by the http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 first appellate court and even had not tried to support the conclusions during hearing of the second appeal filed by the appellant, yet the High Court set aside the order of the first appellant court and consequentially confirmed the judgment of the trial court.  As if that was not enough, in the ultimate conclusion the High Court noted that the appeal filed by the appellant was allowed.  In fact the relief that was granted to the appellant by the first appellate court was reversed. In support of the appeal learned counsel for the appellant submitted that the course adopted by the High Court is clearly contrary to law.  Admittedly there was no appeal questioning the first appellate court’s view regarding appellant’s entitlement to 22 decimals of land.  In the absence of an appeal by the defendants it was not open to the High Court to take a contrary view. Learned counsel for the respondents fairly conceded that there was no appeal filed by them so far as the relief granted by the first appellant court i.e. 22 decimals of land.  It was also fairly conceded that there was no stand taken by them before the High Court to the effect that the relief granted to the appellant was not legal. As noted above there are confusions galore in the High Court’s order; firstly the appeal was dismissed but the first appellate court’s order which was in favour of the appellant was set aside without any challenge from the defendants ; secondly in the appellant’s appeal the relief which was not questioned by anybody could not have been nullified; thirdly, the High Court’s ultimate conclusion was that the appeal was allowed while it was otherwise. Above being the position we allow the appeal to the extent that the relief granted to the appellant by the first appellate court stands confirmed.  The High Court’s order, directing that the appellate court’s judgment is to be reversed and that of the trial court is to be restored, cannot stand to that extent. The appeal is allowed without any orders as to costs.",Appellant had filed the suit for declaration of title as well as confirmation of possession over the suit land. Suit was dismissed by the learned Munsif Daltonganj. Appellant filed appeal under Section 100 of the Code questioning correctness of the view expressed by first appellate court.,appointment,36.58
1368," JUDGMENT O     R     D      E     R I.As. Nos. 7 & 8, 12, 13-16, 17-22, 23-28, 29-34 & 36 & 37 In SPECIAL LEAVE PETITION (C) NO. 13658 OF 1996 It will not be appropriate to make any orders in these interlocutory applications at this stage unless the main petition is heard.  It is only thereafter the prayers made in these interlocutory applications can be considered. List for final hearing at an early date along with these interlocutory applications.","As. Nos. 7 & 8, 12, 13-16, 17-22, 23-28, 29-34 & 36 & 37 In SPECIAL LEAVE PETITION (C) NO. 13658 OF 1996 It will not be appropriate to make any orders in these interlocutory applications at this stage.",special leave petitions,92.23
1369," Order This appeal stands referred to a Bench of three Judges because  it was found that a Bench of two learned Judges had taken  the  view that the conclusion of an earlier Bench  of three  learned  Judges was difficult to accept.   The  issue relates  to whether Explanation (2) to Section 40(b) of  the Income Tax Act, 1961, introduced with effect from 1st April, 1985, is prospective in operation or only declaratory. In  Brij  Mohan  Das Laxman Das vs.   Commissioner  of Income  Tax  (223 I.T.R./825) two learned  judges  concluded that  the  said Explanation was declaratory.  This view  was accepted  by  a  Bench of three learned  judges  in  Suwalal Anandilal  Jain vs.  Commissioner of Income Tax (224  I.T.R. 753). In  the case of Rashik Lal & Co.  vs.  Commissioner of Income  Tax (229 I.T.R.458) this view was doubted.  A  Bench of  two  learned  Judges observed that it was  difficult  to accept  the  proposition that the said Explanation was  only clarificatory  for the reason that if what was contained  in the  said  Explanation  was already the law in  force,  then giving  effect to the said Explanation from 1st April,  1985 did  not  make any sense.  But the Bench immediately  noted, ""Hkowever,  in the case before us, no question of payment of any  interest in involved"".  In other words, the application of  Section 40(b) and the said Explanation was not really in issue  in Rashik Lal’s case relative to the said Explanation must, therefore, betreated as obiter dicta. The  conclusion  of the court in the earlier cases  of Brij  Mohan Das Laxman Das and Suwalal Anandilal jain  still represents  the  correct exposition of the law.   Fkollowing these decisions, the civil appeal must be dismissed./ We are abliged to Mr.  B.Sen, learned counsel, for his assistance at our request. Appeal dismissed. No order as to costs.","The appeal relates to whether Explanation (2) to Section 40(b) of the Income Tax Act, 1961, introduced with effect from 1st April, 1985, is prospective in operation or only declaratory. In Brij  Mohan Das Laxman Das vs. Commissioner  of Income  Tax (223 I.T.R./825) two learned  judges concluded that the  said Explanation was declaratories. This view was accepted by a Bench of three learned judges in Suwalal Anandilal  Jain vs  Commissioner of Income Tax. In the case of Rashik Lal & Co. vs. commissioner  this view was doubted. A Bench of two learned Judges observed that it was difficult  to accept  the proposition that the said Explanations was only clarificatory.",civil,79.28
